id,power,dist
0,0.9886523577,73.99327365
1,0.8131067137,57.38439632
2,0.5773528087,36.43784077
3,0.9228601684,69.40101329
4,0.7855833421,55.87864589
5,0.6273634727,28.61702026
6,0.5139989233,26.03859436
7,0.5836972466,31.53504943
8,0.6856890456,40.38184272
9,0.9520564293,71.1763876
10,0.7101964135,47.19150982
11,0.5080611942,20.58545885
12,0.6345563704,30.38524387
13,0.8027611328,53.19514437
14,0.5847536376,35.76866467
15,0.5338802458,32.06267641
16,0.8678806886,63.4430114
17,0.6948555105,45.83947933
18,0.6025954774,23.30637051
19,0.6209231128,24.08052818
20,0.7741705234,48.30116065
21,0.6500575758,37.29628604
22,0.7696934583,51.78084318
23,0.5906400022,28.05825149
24,0.8198081719,58.75526884
25,0.8556216299,63.64419033
26,0.9893740788,69.23561368
27,0.6911870883,44.23609522
28,0.8525690014,57.57399137
29,0.5580141648,32.12527543
30,0.5761014335,34.71768525
31,0.5942057455,35.10216335
32,0.5411585982,29.56418847
33,0.6166879396,36.99963047
34,0.5356998832,31.97589984
35,0.576832312,26.37501104
36,0.9004854797,61.27472985
37,0.780047166,53.98239384
38,0.6385219284,40.32229102
39,0.6605881787,46.15743193
40,0.6055642987,37.07969166
41,0.7210273635,41.74536297
42,0.5851577027,32.43116716
43,0.6069157903,28.83295661
44,0.7862559363,55.43152336
45,0.6942996852,46.48657671
46,0.7375984986,46.97834419
47,0.515961372,23.4888406
48,0.6932280809,47.85619917
49,0.8668572263,62.06999149
50,0.6800094327,48.3085061
51,0.7438492261,52.94545813
52,0.5124252894,26.08514502
53,0.9838279708,68.49541858
54,0.8522576427,57.14242069
55,0.6317757003,29.87823461
56,0.7793460113,57.40169625
57,0.8534830155,56.18352733
58,0.5362620963,25.3679617
59,0.5760357137,25.71042063
60,0.6933825045,41.03137441
61,0.5518502234,23.84174223
62,0.9905190693,75.18641803
63,0.7837825768,55.01323778
64,0.7743785972,53.32037475
65,0.8358962306,56.15158353
66,0.5458810061,23.16319635
67,0.9210342988,63.95994857
68,0.5765127351,33.22728568
69,0.9330260401,69.13342094
70,0.6366260136,35.19957862
71,0.7954604996,57.33379776
72,0.6879144419,46.72832083
73,0.8069333859,59.74598487
74,0.7919639639,54.78334945
75,0.7947623501,54.73049245
76,0.6827646125,41.03103841
77,0.7466015489,45.23421092
78,0.5811377193,34.09151336
79,0.8522728662,56.19571891
80,0.8962640409,66.10457637
81,0.9786466986,69.95959541
82,0.7549882453,47.21243094
83,0.7640412938,47.21847872
84,0.5489530724,20.43624983
85,0.7101160673,43.85334009
86,0.5545212133,28.61844971
87,0.6339980812,27.28059034
88,0.927893522,64.82536104
89,0.5683545103,32.17917063
90,0.6288064589,21.93513249
91,0.5540403975,25.49127248
92,0.5649856754,21.14640359
93,0.6172086104,33.63945943
94,0.8566735271,63.55123795
95,0.7124043486,43.74148732
96,0.6064764756,26.80295903
97,0.7274888816,51.26631205
98,0.5039144436,22.29235261
99,0.7513003203,51.99281505
100,0.7120458377,46.84206292
101,0.6099968413,30.35588589
102,0.828237798,55.87243579
103,0.6815741131,40.63748706
104,0.8943055101,61.21526353
105,0.6255578732,38.43335237
106,0.5850229439,23.63748582
107,0.9318695741,68.32203614
108,0.5446528424,28.7230956
109,0.9072252422,63.36269094
110,0.596281885,23.57667682
111,0.7007977324,40.64620267
112,0.5880805829,31.71289451
113,0.5849232064,25.21668468
114,0.6459072728,32.09349964
115,0.575325565,31.51101895
116,0.7754469049,53.63352467
117,0.5289360813,28.00285553
118,0.5942280356,38.29736966
119,0.5409187974,22.79769602
120,0.6617132472,39.53214935
121,0.5553574976,23.9243946
122,0.5594344712,22.36508177
123,0.6439860121,35.08913057
124,0.512717663,20.70708473
125,0.7166416987,42.22141071
126,0.7209514903,42.00484344
127,0.5240001059,28.44037254
128,0.6198666709,27.9167917
129,0.9537635987,69.0297846
130,0.9849654213,68.52349212
131,0.6149931373,37.4066731
132,0.946460748,68.55463196
133,0.6681928465,41.28042985
134,0.6152642069,34.6391541
135,0.5550781637,32.7662546
136,0.9092573213,65.73451521
137,0.7423192159,48.72533255
138,0.5277162455,25.40112569
139,0.798282857,51.4388851
140,0.7219647968,46.91830179
141,0.7120341403,50.22539837
142,0.5823785837,21.13613351
143,0.7655978642,47.82182407
144,0.5836688566,30.06182314
145,0.9939102178,70.34049003
146,0.8553467144,60.78120397
147,0.7270372785,48.65766342
148,0.6294239042,30.16638727
149,0.5968294421,36.46147387
150,0.7239560117,50.93268982
151,0.6760088195,46.14727493
152,0.6601321673,38.10423386
153,0.5474652447,25.25601372
154,0.972792593,72.69006938
155,0.5804275207,23.7273763
156,0.6078594077,20.65698265